generic_name_cn,generic_name_en,spec,unit,default_usage,is_antibiotic,antibiotic_level,is_toxic_drug,contraindication_tags,cost_price_ref,retail_price_ref,reorder_level,drug_class,otc_type
阿莫西林胶囊,Amoxicillin Capsules,0.25g×24粒,盒,口服 0.5g tid,1,NonRestricted,0,青霉素类,7.75,12.50,20,抗感染-青霉素类,Rx
阿莫西林克拉维酸钾片,Amoxicillin/Clavulanate Tablets,0.457g×12片,盒,口服 0.457g bid,1,NonRestricted,0,青霉素类,11.16,18.00,15,抗感染-青霉素类,Rx
氨苄西林胶囊,Ampicillin Capsules,0.25g×24粒,盒,口服 0.5g qid,1,NonRestricted,0,青霉素类,6.08,9.80,,抗感染-青霉素类,Rx
头孢氨苄胶囊,Cefalexin Capsules,0.25g×24粒,盒,口服 0.5g qid,1,NonRestricted,0,头孢类,5.27,8.50,20,抗感染-头孢类,Rx
头孢拉定胶囊,Cefradine Capsules,0.25g×24粒,盒,口服 0.5g qid,1,NonRestricted,0,头孢类,5.58,9.00,,抗感染-头孢类,Rx
头孢克洛胶囊,Cefaclor Capsules,0.25g×12粒,盒,口服 0.25g tid,1,Restricted,0,头孢类,15.50,25.00,12,抗感染-头孢类,Rx
头孢呋辛酯片,Cefuroxime Axetil Tablets,0.25g×12片,盒,口服 0.25g bid,1,Restricted,0,头孢类,17.36,28.00,,抗感染-头孢类,Rx
头孢克肟分散片,Cefixime Dispersible Tablets,0.1g×12片,盒,口服 0.1g bid,1,Restricted,0,头孢类,13.64,22.00,,抗感染-头孢类,Rx
阿奇霉素分散片,Azithromycin Dispersible Tablets,0.25g×6片,盒,口服 0.5g qd,1,NonRestricted,0,,9.30,15.00,15,抗感染-大环内酯类,Rx
克拉霉素片,Clarithromycin Tablets,0.25g×12片,盒,口服 0.25g bid,1,NonRestricted,0,,9.92,16.00,,抗感染-大环内酯类,Rx
罗红霉素胶囊,Roxithromycin Capsules,0.15g×12粒,盒,口服 0.15g bid,1,NonRestricted,0,,8.06,13.00,,抗感染-大环内酯类,Rx
左氧氟沙星片,Levofloxacin Tablets,0.5g×7片,盒,口服 0.5g qd,1,Restricted,0,喹诺酮类,10.23,16.50,15,抗感染-喹诺酮类,Rx
盐酸环丙沙星片,Ciprofloxacin Tablets,0.25g×12片,盒,口服 0.5g bid,1,Restricted,0,喹诺酮类,6.20,10.00,,抗感染-喹诺酮类,Rx
诺氟沙星胶囊,Norfloxacin Capsules,0.1g×24粒,盒,口服 0.4g bid,1,Restricted,0,喹诺酮类,4.03,6.50,,抗感染-喹诺酮类,Rx
庆大霉素片,Gentamicin Tablets,40mg×100片,瓶,口服 80mg tid,1,NonRestricted,0,氨基糖苷类,3.10,5.00,,抗感染-氨基糖苷类,Rx
甲硝唑片,Metronidazole Tablets,0.2g×100片,瓶,口服 0.4g tid,0,None,0,,2.79,4.50,10,抗感染-硝基咪唑类,Rx
奥硝唑分散片,Ornidazole Dispersible Tablets,0.25g×12片,盒,口服 0.5g bid,0,None,0,,8.68,14.00,,抗感染-硝基咪唑类,Rx
复方磺胺甲噁唑片,Compound Sulfamethoxazole Tablets,0.48g×12片,盒,口服 1片 bid,1,NonRestricted,0,磺胺类,4.34,7.00,,抗感染-磺胺类,Rx
盐酸小檗碱片,Berberine Hydrochloride Tablets,0.1g×100片,瓶,口服 0.3g tid,0,None,0,,4.96,8.00,,抗感染-其他,OTC甲
阿昔洛韦片,Aciclovir Tablets,0.2g×24片,盒,口服 0.4g tid,0,None,0,,5.58,9.00,,抗感染-抗病毒,Rx
利巴韦林颗粒,Ribavirin Granules,50mg×18袋,盒,口服 0.15g tid,0,None,0,,7.44,12.00,,抗感染-抗病毒,Rx
磷酸奥司他韦胶囊,Oseltamivir Phosphate Capsules,75mg×10粒,盒,口服 75mg bid,0,None,0,,27.90,45.00,10,抗感染-抗病毒,Rx
伊曲康唑胶囊,Itraconazole Capsules,0.1g×14粒,盒,口服 0.2g qd,0,None,0,,21.70,35.00,,抗感染-抗真菌,Rx
氟康唑胶囊,Fluconazole Capsules,0.15g×6粒,盒,口服 0.15g qd,0,None,0,,11.16,18.00,,抗感染-抗真菌,Rx
制霉菌素片,Nystatin Tablets,50万U×100片,瓶,口服 50万U tid,0,None,0,,12.40,20.00,,抗感染-抗真菌,Rx
布洛芬缓释胶囊,Ibuprofen Sustained-release Capsules,0.3g×20粒,盒,口服 0.3g bid,0,None,0,NSAIDs,9.30,15.00,25,解热镇痛,OTC乙
布洛芬片,Ibuprofen Tablets,0.2g×100片,瓶,口服 0.2g tid,0,None,0,NSAIDs,4.96,8.00,30,解热镇痛,OTC甲
布洛芬混悬液,Ibuprofen Suspension,100ml:2g,瓶,口服 5ml qid,0,None,0,NSAIDs,7.44,12.00,,解热镇痛-儿科,OTC甲
对乙酰氨基酚片,Paracetamol Tablets,0.5g×20片,盒,口服 0.5g tid,0,None,0,,3.10,5.00,30,解热镇痛,OTC甲
对乙酰氨基酚缓释片,Paracetamol Sustained-release Tablets,0.65g×12片,盒,口服 0.65g bid,0,None,0,,5.58,9.00,,解热镇痛,OTC甲
双氯芬酸钠缓释片,Diclofenac Sodium SR Tablets,75mg×10片,盒,口服 75mg qd,0,None,0,NSAIDs,6.82,11.00,,解热镇痛,Rx
塞来昔布胶囊,Celecoxib Capsules,0.2g×6粒,盒,口服 0.2g qd,0,None,0,NSAIDs,13.64,22.00,,解热镇痛-COX2,Rx
洛索洛芬钠片,Loxoprofen Sodium Tablets,60mg×24片,盒,口服 60mg tid,0,None,0,NSAIDs,8.68,14.00,,解热镇痛,Rx
吲哚美辛肠溶片,Indometacin Enteric-coated Tablets,25mg×100片,瓶,口服 25mg bid,0,None,0,NSAIDs,4.34,7.00,,解热镇痛,Rx
氨基比林咖啡因片,Amidopyrine and Caffeine Tablets,20片,盒,口服 1片 tid,0,None,0,,2.17,3.50,,解热镇痛-复方,OTC甲
复方对乙酰氨基酚片(Ⅱ),Compound Paracetamol Tablets(Ⅱ),10片,盒,口服 1片 tid,0,None,0,,3.72,6.00,,解热镇痛-复方,OTC甲
美洛昔康片,Meloxicam Tablets,7.5mg×10片,盒,口服 7.5mg qd,0,None,0,NSAIDs,8.06,13.00,,解热镇痛,Rx
尼美舒利颗粒,Nimesulide Granules,0.1g×10袋,盒,口服 0.1g bid,0,None,0,NSAIDs,9.92,16.00,,解热镇痛,Rx
去痛片,Compound Aminopyrine Phenacetin Tablets,100片,瓶,口服 1片 tid,0,None,0,,4.03,6.50,,解热镇痛-复方,OTC甲
秋水仙碱片,Colchicine Tablets,0.5mg×20片,盒,口服 0.5mg bid,0,None,0,,6.20,10.00,,解热镇痛-痛风,Rx
氨溴索口服溶液,Ambroxol Oral Solution,100ml:0.6g,瓶,口服 10ml tid,0,None,0,,5.58,9.00,,呼吸-祛痰,OTC甲
盐酸氨溴索片,Ambroxol Hydrochloride Tablets,30mg×20片,盒,口服 30mg tid,0,None,0,,4.96,8.00,,呼吸-祛痰,OTC甲
乙酰半胱氨酸颗粒,Acetylcysteine Granules,0.2g×12袋,盒,口服 0.2g tid,0,None,0,,9.30,15.00,,呼吸-祛痰,OTC甲
复方甘草片,Compound Liquorice Tablets,100片,瓶,含服 3片 tid,0,None,0,,3.41,5.50,20,呼吸-镇咳,OTC甲
