Med_Name,Med_Kind,Med_Plc
克霉唑,消化道和代谢方面的药物 [口服常释剂型],国家
西吡氯铵,消化道和代谢方面的药物 [外用液体剂],国家
复方铝酸铋,消化道和代谢方面的药物 [颗粒剂],国家
雷尼替丁,消化道和代谢方面的药物 [注射剂],国家
埃索美拉唑,消化道和代谢方面的药物 [注射剂],国家
奥美拉唑,消化道和代谢方面的药物 [注射剂],国家
泮托拉唑,消化道和代谢方面的药物 [注射剂],国家
硫糖铝,消化道和代谢方面的药物 [混悬凝胶剂],国家
间苯三酚,消化道和代谢方面的药物 [注射剂],国家
溴丙胺太林,消化道和代谢方面的药物 [口服常释剂型],国家
替硝唑,消化道和代谢方面的药物 [外用液体剂],国家
大黄碳酸氢钠,消化道和代谢方面的药物 [口服常释剂型],国家
铝碳酸镁,消化道和代谢方面的药物 [口服常释剂型],国家
奥美拉唑,消化道和代谢方面的药物 [口服常释剂型],国家
艾普拉唑,消化道和代谢方面的药物 [口服常释剂型],国家
泮托拉唑,消化道和代谢方面的药物 [口服常释剂型],国家
硫糖铝,消化道和代谢方面的药物 [口服常释剂型;口服液体剂;颗粒剂],国家
替普瑞酮,消化道和代谢方面的药物 [口服常释剂型],国家
匹维溴铵,消化道和代谢方面的药物 [口服常释剂型],国家
罂粟碱,消化道和代谢方面的药物 [注射剂],国家
阿托品,消化道和代谢方面的药物 [口服常释剂型],国家
甲氧氯普胺,消化道和代谢方面的药物 [口服常释剂型],国家
莫沙必利,消化道和代谢方面的药物 [口服常释剂型],国家
多拉司琼,消化道和代谢方面的药物 [注射剂],国家
格拉司琼,消化道和代谢方面的药物 [注射剂],国家
联苯双酯,消化道和代谢方面的药物 [口服常释剂型;滴丸剂],国家
复方甘草酸苷,消化道和代谢方面的药物 [口服常释剂型],国家
甘草酸二铵,消化道和代谢方面的药物 [口服常释剂型],国家
甲硫氨酸维B1,消化道和代谢方面的药物 [注射剂],国家
葡醛内酯,消化道和代谢方面的药物 [注射剂],国家
丁溴东莨菪碱,消化道和代谢方面的药物 [口服常释剂型],国家
多潘立酮,消化道和代谢方面的药物 [口服液体剂],国家
伊托必利,消化道和代谢方面的药物 [口服常释剂型],国家
