消化系统药物 [口服常释剂型],国家
枸橼酸铋钾,消化系统药物 [颗粒剂],国家
瑞巴派特,消化系统药物 [口服常释剂型],国家
雷尼替丁,消化系统药物 [口服常释剂型],国家
二氧丙嗪,呼吸系统药物 [口服常释剂型],国家
多索茶碱,呼吸系统药物 [口服常释剂型],国家
班布特罗,呼吸系统药物 [口服常释剂型],国家
沙丁胺醇,呼吸系统药物 [口服常释剂型;缓释控释剂型],国家
氟替卡松,呼吸系统药物 [吸入剂],国家
复方甲氧那明,呼吸系统药物 [口服常释剂型],国家
胶体果胶铋,消化系统药物 [口服常释剂型],国家
铝碳酸镁,消化系统药物 [口服常释剂型],国家
法莫替丁,消化系统药物 [注射剂],国家
地巴唑,循环系统药物 [口服常释剂型],国家
二氮嗪,循环系统药物 [注射剂],国家
多巴酚丁胺,循环系统药物 [注射剂],国家
普伐他汀,循环系统药物 [口服常释剂型],国家
辛伐他汀,循环系统药物 [滴丸剂],国家
非诺贝特,循环系统药物 [口服常释剂型],国家
阿魏酸哌嗪,循环系统药物 [口服常释剂型],国家
依那普利叶酸,循环系统药物 [口服常释剂型],国家
布美他尼,泌尿系统药物 [口服常释剂型],国家
托拉塞米,泌尿系统药物 [注射剂],国家
氨苯蝶啶,泌尿系统药物 [口服常释剂型],国家
肼屈嗪,循环系统药物 [口服常释剂型],国家
异丙肾上腺素,循环系统药物 [注射剂],国家
瑞舒伐他汀,循环系统药物 [口服常释剂型],国家
苯扎贝特,循环系统药物 [口服常释剂型],国家
烟酸肌醇酯,循环系统药物 [口服常释剂型],国家
环磷腺苷,循环系统药物 [注射剂],国家
呋塞米,泌尿系统药物 [口服常释剂型],国家
布美他尼,泌尿系统药物 [注射剂],国家
氢氯噻嗪,泌尿系统药物 [口服常释剂型],国家
复方甘草甜素

（复方甘草酸苷）,消化系统药物 [口服常释剂型],国家
还原型谷胱甘肽,消化系统药物 [口服常释剂型],国家
葡醛内酯,消化系统药物 [口服常释剂型],国家
乳果糖,消化系统药物 [糖浆剂;口服散剂;口服液体剂],国家
水飞蓟宾,消化系统药物 [口服常释剂型],国家
曲匹布通,消化系统药物 [口服常释剂型],国家
地奥司明,消化系统药物 [口服常释剂型],国家
地高辛,循环系统药物 [注射剂],国家
去乙酰毛花苷,循环系统药物 [注射剂],国家
美西律,循环系统药物 [口服常释剂型],国家
莫雷西嗪,循环系统药物 [口服常释剂型],国家
硫普罗宁,消化系统药物 [注射剂],国家
葡醛内酯,消化系统药物 [注射剂],国家
双环醇,消化系统药物 [注射剂],国家
复方阿嗪米特,消化系统药物 [口服常释剂型],国家
草木犀流浸液,消化系统药物 [口服常释剂型],国家
地高辛,循环系统药物 [口服常释剂型],国家
毛花苷丙,循环系统药物 [注射剂],国家
胺碘酮,循环系统药物 [口服常释剂型],国家
普鲁卡因胺,循环系统药物 [注射剂],国家
托西溴苄铵,循环系统药物 [注射剂],国家
硝酸异山梨酯,循环系统药物 [注射剂],国家
维拉帕米,循环系统药物 [口服常释剂型],国家
阿替洛尔,循环系统药物 [口服常释剂型],国家
索他洛尔,循环系统药物 [注射剂],国家
多沙唑嗪,循环系统药物 [口服常释剂型;缓释控释剂型],国家
乌拉地尔,循环系统药物 [口服常释剂型;缓释控释剂型],国家
依那普利,循环系统药物 [口服常释剂型],国家
福辛普利,循环系统药物 [口服常释剂型],国家
